,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
 , ,   ,   ,Bachelor's, 125 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
0487,PAYPAL INC, 512 ," 138,286 ",Master's, 322 ,
 , ,   ,   ,Bachelor's, 186 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,High School, D ,
 , ,   ,   ,Some College Credits, D ,
8880,GOLDMAN SACHS & CO, 507 ," 118,489 ",Master's, 234 ,
 , ,   ,   ,Bachelor's, 228 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
6583,HTC GLOBAL SERVICES INC, 505 ," 81,067 ",Bachelor's, 344 ,
 , ,   ,   ,Master's, 161 ,
2018,SYNTEL INC, 488 ," 97,506 ",Bachelor's, 305 ,
 , ,   ,   ,Master's, 183 ,
7549,NVIDIA CORPORATION, 483 ," 143,293 ",Master's, 352 ,
 , ,   ,   ,Bachelor's, 103 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
9337,HCL GLOBAL SYSTEMS INC, 449 ," 94,712 ",Master's, 305 ,
 , ,   ,   ,Bachelor's, 144 ,
4484,A2Z DEVELOPMENT CTR INC D/B/A, 448 ," 133,186 ",Master's, 333 ,
 , ,   ,   ,Bachelor's, 101 ,
 , ,   ,   ,Doctorate, 14 ,
4661,KFORCE INC, 444 ," 101,967 ",Bachelor's, 263 ,
 , ,   ,   ,Master's, 181 ,
8689,YAHOO INC, 443 ," 128,130 ",Master's, 259 ,
 , ,   ,   ,Bachelor's, 160 ,
 , ,   ,   ,Doctorate, 24 ,
7729,TESLA INC, 433 ," 111,182 ",Master's, 273 ,
 , ,   ,   ,Bachelor's, 136 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
6309,UNIVERSITY OF MICHIGAN, 422 ," 65,516 ",Doctorate, 327 ,
 , ,   ,   ,Master's, 54 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
3497,AMERICAN EXPRESS TRAVEL RELATE, 413 ," 112,964 ",Bachelor's, 276 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
6365,THE LELAND STANFORD JR UNIV, 407 ," 84,127 ",Doctorate, 305 ,
 , ,   ,   ,Master's, 54 ,
 , ,   ,   ,Bachelor's, 26 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Missing Education, D ,
8068,AMAZON WEB SERVICES INC, 402 ," 112,338 ",Master's, 271 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
7441,UBER TECHNOLOGIES INC, 398 ," 134,090 ",Master's, 264 ,
 , ,   ,   ,Bachelor's, 97 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
6944,CERNER CORPORATION, 396 ," 77,580 ",Master's, 372 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
5772,DELOITTE TAX LLP, 377 ," 85,581 ",Bachelor's, 240 ,
 , ,   ,   ,Master's, 132 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
1325,POLARIS CONSULTING & SERVICES, 366 ," 83,661 ",Master's, 185 ,
 , ,   ,   ,Bachelor's, 181 ,
4017,KPIT INFOSYSTEMS INC, 356 ," 75,527 ",Bachelor's, 264 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Some College Credits, D ,
0009,EMC CORPORATION, 351 ," 102,108 ",Master's, 201 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
6945,CSC COVANSYS CORPORATION, 349 ," 79,625 ",Bachelor's, 217 ,
 , ,   ,   ,Master's, 132 ,
0018,INOVANT LLC, 347 ," 115,177 ",Master's, 202 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
4585,CLEVELAND CLINIC FOUNDATION, 345 ," 109,944 ",Professional Degree, 250 ,
 , ,   ,   ,Doctorate, 71 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
6083,EXPEDIA INC, 341 ," 114,336 ",Master's, 223 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
0235,THE MATHWORKS INC, 335 ," 99,923 ",Master's, 260 ,
 , ,   ,   ,Doctorate, 56 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Professional Degree, D ,
0648,SAPIENT CORPORATION, 333 ," 116,848 ",Bachelor's, 195 ,
 , ,   ,   ,Master's, 138 ,
3222,GENERAL MOTORS COMPANY, 330 ," 102,037 ",Master's, 226 ,
 , ,   ,   ,Bachelor's, 83 ,
 , ,   ,   ,Doctorate, 16 ,
 , ,   ,   ,Some College Credits, D ,
 , ,   ,   ,Professional Degree, D ,
4941,FUJITSU AMERICA INC, 322 ," 85,882 ",Bachelor's, 213 ,
 , ,   ,   ,Master's, 109 ,
3382,MASTECH DIGITAL TECHNOLOGIES I, 322 ," 100,014 ",Bachelor's, 228 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Some College Credits, D ,
6161,MCKINSEY & COMPANY INC US, 322 ," 140,369 ",Master's, 230 ,
 , ,   ,   ,Bachelor's, 62 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
7105,COMPUNNEL SOFTWARE GROUP INC, 321 ," 68,339 ",Bachelor's, 165 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Associate Degree, D ,
1702,MAYO CLINIC, 321 ," 119,876 ",Professional Degree, 148 ,
 , ,   ,   ,Doctorate, 122 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
8624,HEWLETT PACKARD ENTERPRISE COM, 320 ," 124,471 ",Master's, 202 ,
 , ,   ,   ,Bachelor's, 109 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
5497,IGATE TECHNOLOGIES INC, 317 ," 77,263 ",Bachelor's, 231 ,
 , ,   ,   ,Master's, 86 ,
0547,NIIT TECHNOLOGIES LIMITED, 316 ," 98,345 ",Bachelor's, 201 ,
 , ,   ,   ,Master's, 115 ,
6287,MARLABS INC, 315 ," 74,433 ",Master's, 240 ,
 , ,   ,   ,Bachelor's, 75 ,
6490,HITACHI CONSULTING CORPORATION, 312 ," 92,443 ",Bachelor's, 239 ,
 , ,   ,   ,Master's, 71 ,
 , ,   ,   ,High School, D ,
 , ,   ,   ,Professional Degree, D ,
4773,BIRLASOFT INC, 312 ," 73,419 ",Bachelor's, 164 ,
 , ,   ,   ,Master's, 148 ,
3746,ZENSAR TECHNOLOGIES INC, 311 ," 91,059 ",Bachelor's, 169 ,
 , ,   ,   ,Master's, 142 ,
3200,STATE UNIV OF NEW YORK AT BUFF, 306 ," 76,839 ",Doctorate, 193 ,
 , ,   ,   ,Master's, 53 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
4954,PERSISTENT SYSTEMS INC, 303 ," 91,125 ",Bachelor's, 230 ,
 , ,   ,   ,Master's, 73 ,
2643,V-SOFT CONSULTING GROUP INC, 303 ," 79,884 ",Master's, 176 ,
 , ,   ,   ,Bachelor's, 127 ,
3600,T MOBILE USA INC, 299 ," 115,682 ",Master's, 168 ,
 , ,   ,   ,Bachelor's, 128 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Some College Credits, D ,
6236,SYNOPSYS INC, 291 ," 116,663 ",Master's, 192 ,
 , ,   ,   ,Bachelor's, 70 ,
 , ,   ,   ,Doctorate, 27 ,
 , ,   ,   ,Missing Education, D ,
 , ,   ,   ,Professional Degree, D ,
4661,INTUIT INC, 289 ," 134,260 ",Master's, 194 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
9719,EXPERIS US INC, 289 ," 86,898 ",Bachelor's, 197 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
9021,POPULUS GROUP LLC, 287 ," 91,285 ",Master's, 161 ,
 , ,   ,   ,Bachelor's, 126 ,
6361,MORGAN STANLEY SERVICES GROUP, 284 ," 123,184 ",Master's, 162 ,
 , ,   ,   ,Bachelor's, 116 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
9522,ADOBE SYSTEMS INCORPORATED, 280 ," 138,444 ",Master's, 180 ,
 , ,   ,   ,Bachelor's, 92 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
5715,ANTHEM INC, 274 ," 103,898 ",Bachelor's, 139 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
9340,GENERAL ELECTRIC COMPANY, 263 ," 121,560 ",Master's, 134 ,
 , ,   ,   ,Bachelor's, 106 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
8462,RELIABLE SOFTWARE RESOURCES IN, 261 ," 64,379 ",Master's, 193 ,
 , ,   ,   ,Bachelor's, 68 ,
2033,UNIVERSITY OF MARYLAND, 261 ," 77,149 ",Doctorate, 193 ,
 , ,   ,   ,Master's, 38 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
2685,UNIVERSITY OF PENNSYLVANIA, 256 ," 72,717 ",Doctorate, 156 ,
 , ,   ,   ,Professional Degree, 46 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Bachelor's, D ,
3911,HEADSTRONG SERVICES LLC, 255 ," 90,337 ",Bachelor's, 158 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
0511,UNIV OF IL AT URBANA CHAMPAIGN, 255 ," 79,040 ",Doctorate, 173 ,
 , ,   ,   ,Master's, 40 ,
 , ,   ,   ,Professional Degree, H ,
 , ,   ,   ,Bachelor's, D ,
5110,JOHNS HOPKINS UNIVERSITY, 247 ," 72,293 ",Doctorate, 171 ,
 , ,   ,   ,Professional Degree, 36 ,
 , ,   ,   ,Master's, 34 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
2798,AMERICAN AIRLINES INC, 247 ," 97,978 ",Master's, 153 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
7419,GOLDMAN SACHS SERVICES LLC, 246 ," 105,265 ",Master's, 159 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
3525,COLLABERA INC, 245 ," 72,172 ",Bachelor's, 141 ,
 , ,   ,   ,Master's, 104 ,
9461,PROKARMA INC, 243 ," 98,768 ",Bachelor's, 130 ,
 , ,   ,   ,Master's, 113 ,
6041,SAP AMERICA INC, 240 ," 115,975 ",Bachelor's, 155 ,
 , ,   ,   ,Master's, 85 ,
6104,EPAM SYSTEMS INC, 240 ," 92,843 ",Master's, 178 ,
 , ,   ,   ,Bachelor's, 62 ,
4085,MERRILL LYNCH, 240 ," 129,076 ",Master's, 140 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
3454,OPTUM SERVICES INC, 237 ," 107,065 ",Master's, 120 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
9852,ZS ASSOCIATES INC, 236 ," 83,684 ",Bachelor's, 213 ,
 , ,   ,   ,Master's, 23 ,
5219,VERIZON DATA SERVICES LLC, 236 ," 109,711 ",Master's, 123 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
7172,TAVANT TECHNOLOGIES INC, 235 ," 93,210 ",Bachelor's, 177 ,
 , ,   ,   ,Master's, 58 ,
7496,CYIENT INC, 235 ," 68,742 ",Bachelor's, 172 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Some College Credits, D ,
3126,COMPUTER SCIENCES CORPORATION, 234 ," 69,677 ",Bachelor's, 152 ,
 , ,   ,   ,Master's, 82 ,
2795,SNAP INC, 233 ," 148,845 ",Master's, 159 ,
 , ,   ,   ,Bachelor's, 51 ,
 , ,   ,   ,Doctorate, 21 ,
 , ,   ,   ,Professional Degree, D ,
 , ,   ,   ,Some College Credits, D ,
1916,CITIUSTECH INC, 232 ," 81,975 ",Bachelor's, 193 ,
 , ,   ,   ,Master's, 39 ,
9979,CAPGEMINI FINANCIAL SVCS USA I, 231 ," 94,406 ",Bachelor's, 146 ,
 , ,   ,   ,Master's, 85 ,
1864,SYMANTEC CORPORATION, 230 ," 123,175 ",Master's, 148 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
8004,MICRON TECHNOLOGY INC, 229 ," 141,657 ",Master's, 130 ,
 , ,   ,   ,Bachelor's, 59 ,
 , ,   ,   ,Doctorate, 40 ,
7524,MGMT HEALTH SYSTEMS LLC D/B/A, 228 ," 44,815 ",Bachelor's, 228 ,
9591,ORION SYSTEMS INTEGRATORS LLC, 228 ," 98,492 ",Master's, 121 ,
 , ,   ,   ,Bachelor's, 107 ,
2131,GLOBALFOUNDRIES US INC, 227 ," 105,590 ",Master's, 114 ,
 , ,   ,   ,Doctorate, 66 ,
 , ,   ,   ,Bachelor's, 47 ,
8093,COLUMBIA UNIVERSITY, 227 ," 78,648 ",Doctorate, 157 ,
 , ,   ,   ,Master's, 50 ,
 , ,   ,   ,Professional Degree, 12 ,
 , ,   ,   ,Bachelor's, D ,
 , ,   ,   ,Missing Education, D ,
7939,SLK AMERICA INC, 225 ," 74,671 ",Bachelor's, 168 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Missing Education, D ,
0482,BROADCOM CORPORATION, 224 ," 130,515 ",Master's, 146 ,
 , ,   ,   ,Bachelor's, 57 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Associate Degree, D ,
2528,JUNIPER NETWORKS INC, 223 ," 126,534 ",Master's, 142 ,
 , ,   ,   ,Bachelor's, 74 ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Professional Degree, D ,
5755,COMCAST CABLE COMMUNICATIONS L, 223 ," 114,668 ",Master's, 135 ,
 , ,   ,   ,Bachelor's, 83 ,
 , ,   ,   ,Some College Credits, D ,
 , ,   ,   ,Doctorate, D ,
9190,FORD MOTOR COMPANY, 222 ," 99,207 ",Master's, 155 ,
 , ,   ,   ,Bachelor's, 41 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
2300,ADVANCED MICRO DEVICES INC, 221 ," 114,675 ",Master's, 174 ,
 , ,   ,   ,Bachelor's, 30 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
1169,TECHNOSOFT CORPORATION, 221 ," 86,691 ",Bachelor's, 133 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
2778,YASH TECHNOLOGIES INC, 220 ," 68,143 ",Bachelor's, 129 ,
 , ,   ,   ,Master's, 91 ,
0875,XORIANT CORPORATION, 218 ," 84,454 ",Bachelor's, 130 ,
 , ,   ,   ,Master's, 88 ,
5526,APPLIED MATERIALS INC, 217 ," 115,301 ",Master's, 102 ,
 , ,   ,   ,Bachelor's, 60 ,
 , ,   ,   ,Doctorate, H ,
 , ,   ,   ,Professional Degree, D ,
2148,SEARS HOLDINGS MANAGEMENT CORP, 217 ," 109,506 ",Master's, 118 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
9960,ERICSSON INC, 217 ," 107,517 ",Master's, 136 ,
 , ,   ,   ,Bachelor's, H ,
 , ,   ,   ,Doctorate, D ,
2170,CAPITAL ONE SERVICES II LLC, 215 ," 109,447 ",Bachelor's, 108 ,
 , ,   ,   ,Master's, H ,
 , ,   ,   ,Doctorate, D ,
8920,INTEL MOBILE COMMUNICATIONS, 215 ," 111,212 ",Master's, 156 ,
 , ,   ,   ,Bachelor's, 45 ,
 , ,   ,   ,Doctorate, 14 ,
