Blu-Ray/DVD Combo_rp,Blu-Ray/DVD Combo_sp,Blu-Ray_rp,Blu-Ray_sp,DVD_rp,DVD_sp,Essential Art House DVD_rp,Essential Art House DVD_sp,Janus Films DVD_rp,Janus Films DVD_sp,aspect_ratio,color,description,dir_link,duration,lang,title,year
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"This masterly adaptation of George Orwell’s chilling parable about totalitarian oppression gives harrowing cinematic expression to the book’s prophetic dystopia. In a rubble-strewn surveillance state where an endless overseas war props up the repressive regime of the all-seeing Big Brother, and all dissent is promptly squashed, a profoundly alienated citizen, Winston Smith (thrillingly played by John Hurt), risks everything for an illicit affair with the rebellious Julia (Suzanna Hamilton), defiantly asserting his humanity in the face of soul-crushing conformity. Through vividly grim production design and expressionistically desaturated cinematography by Roger Deakins, Michael Radford’s 1984 conjures a bleak vision of postwar Britain as fascistic nightmare—a world all too recognizable as our own.",/shop/browse?director=radford-michael,110 minutes,English,1984,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"Billy Wilder’s Ace in the Hole is one of the most scathing indictments of American culture ever produced by a Hollywood filmmaker. Kirk Douglas gives the fiercest performance of his career as Chuck Tatum, an amoral newspaper reporter who washes up in dead-end Albuquerque, happens upon the scoop of a lifetime, and will do anything to keep getting the lurid headlines. Wilder’s follow-up to Sunset Boulevard is an even darker vision, a no-holds-barred exposé of the American media’s appetite for sensation that has gotten only more relevant with time.",/shop/browse?director=wilder-billy,111 minutes,English,Ace in the Hole,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.39:1,Color,"A uniquely prolific and chameleonic figure of world cinema, Kon Ichikawa delivered a burst of stylistic bravado with this intricate tale of betrayal and retribution. Set in the cloistered world of nineteenth-century kabuki theater, the film charts a female impersonator’s attempts to avenge the deaths of his parents, who were driven to insanity and suicide by a trio of corrupt men. Ichikawa takes the conventions of melodrama and turns them on their head, bringing the hero’s fractured psyche to life in boldly experimental widescreen compositions infused with kaleidoscopic color, pop-art influences, and meticulous choreography. Anchored by a magnificently androgynous performance by Kazuo Hasegawa, reprising a role he had played on-screen three decades earlier, An Actor’s Revenge is an eye-popping examination of how the illusions of art intersect with life.",/shop/browse?director=ichikawa-kon,113 minutes,Japanese,An Actor’s Revenge,1955
,,,,,,,,,,2.35:1,Color,"The blind swordsman wanders into a town to celebrate the New Year. There, he befriends a young woman whose father has gone missing; as he tries to help her find him, he becomes entangled in a web of corruption and a series of tragic twists of fate. Returning director Kimiyoshi Yasuda and screenwriter Shozaburo Asai masterfully weave together a variety of narrative threads and tonal registers, all while playfully tweaking the conventions and motifs of the series.",/shop/browse?director=yasuda-kimiyoshi,86 minutes,Japanese,Adventures of Zatoichi,1955
,,,,,,,,,,1.66:1,72 minutes,"With this spare chamber piece, set in an empty theater, Ingmar Bergman returned to his perennial theme of the permeability of life and art. Lingering after a rehearsal for August Strindberg’s A Dream Play (a touchstone for the filmmaker throughout his career), eminent director Henrik (Erland Josephson) enters into a frank and flirtatious conversation with his up-and-coming star, Anna (Lena Olin), leading him to recall his affair with Anna’s late mother, the self-destructive actress Rakel (Ingrid Thulin). The sharply written and impeccably performed After the Rehearsal, originally made for television, pares away all artifice to examine both the allure and the cost of a life in the theater.",/shop/browse?director=bergman-ingmar,72 minutes,Swedish,After the Rehearsal,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.40:1,Color,"No filmmaker captures the grandeur and energy of New York like Martin Scorsese. With this sumptuous romance, he meticulously adapted the work of another great New York artist, Edith Wharton, bringing to life her tragic novel set in the cloistered world of Gilded Age Manhattan. The Age of Innocence tells the story of Newland Archer (Daniel Day-Lewis), whose engagement to an innocent socialite (Winona Ryder) binds him to the codes and rituals of his upbringing. But when her cousin (Michelle Pfeiffer) arrives in town on a wave of scandal after separating from her husband, she ignites passions in Newland he never knew existed. Swelling with exquisite period detail, this film is an alternately heartbreaking and satirical look at the brutality of old-world America.",/shop/browse?director=scorsese-martin,138 minutes,English,The Age of Innocence,1955
,,,,,,,,,,1.33:1,Color,"Roberto Rossellini’s three-part The Age of the Medici is like a Renaissance painting come to life: a portrait of fifteenth-century Florence, ruled by the Medici political dynasty. With a lovely score from composer Manuel de Sica (son of Vittorio), this grand yet intimate work is a storybook conjuring of a way of life and thought.",/shop/browse?director=rossellini-roberto,255 minutes,Italian,The Age of the Medici,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"Unfolding in a series of eight mythic vignettes, this late work by Akira Kurosawa was inspired by the beloved director’s own nighttime visions, along with stories from Japanese folklore. In a visually sumptuous journey through the master’s imagination, tales of childlike wonder give way to apocalyptic apparitions: a young boy stumbles on a fox wedding in a forest; a soldier confronts the ghosts of the war dead; a power plant meltdown smothers a seaside landscape in radioactive fumes. Interspersed with reflections on the redemptive power of creation, including a richly textured tribute to Vincent van Gogh (who is played by Martin Scorsese), Akira Kurosawa’s Dreams is both a showcase for its maker’s artistry at its most unbridled and a deeply personal lament for a world at the mercy of human ignorance.",/shop/browse?director=kurosawa-akira,120 minutes,Japanese,Akira Kurosawa’s Dreams,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Color,"In ¡Alambrista!, a Mexican farmworker sneaks across the border to California to make money to send to his family back home. It is a story that happens every day, told here in an uncompromising, groundbreaking work of realism from American independent filmmaker Robert M. Young. Vivid and spare where other films about illegal immigration might sentimentalize, Young’s take is equal parts intimate character study and gripping road movie, a political work that never loses sight of the complex man at its center. ¡Alambrista!, winner of the Cannes Film Festival’s inaugural Caméra d’Or in 1978, remains one of the best films ever made on this perennially relevant topic.",/shop/browse?director=young-robert,96 minutes,"English,                                          Spanish",¡Alambrista!,1955
,,,,,,,,,,1.33:1,Black & White,"Eisenstein drew on history, Russian folk narratives, and the techniques of Walt Disney to create this broadly painted epic of Russian resilience. This story of Teutonic knights vanquished by Prince Alexander Nevsky’s tactical brilliance resonated deeply with a Soviet Union concerned with the rise of Nazi Germany. Widely imitated—most notably by Laurence Olivier's Battle of Agincourt re-creation for Henry V—the Battle on the Ice scene remains one of the most famous audio-visual experiments in film history, perfectly blending action with the rousing score of Sergei Prokofiev.",/shop/browse?director=eisenstein-sergei,112 minutes,Russian,Alexander Nevsky,1955
,,,,,,,,,,1.66:1,Black & White,"The first of the road films that would come to define the career of Wim Wenders, the magnificent Alice in the Cities is an emotionally generous and luminously shot odyssey. A German journalist (Rüdiger Vogler) is driving across the United States to research an article; it’s a disappointing trip, in which he is unable to truly connect with what he sees. Things change, however, when he has no choice but to take a young girl named Alice (Yella Rottländer) with him on his return trip to Germany, after her mother (Lisa Kreuzer)—whom he has just met—leaves the child in his care. Though they initially find themselves at odds, the pair begin to form an unlikely friendship.",/shop/browse?director=wenders-wim,113 minutes,German,Alice in the Cities,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Color,"The wildly prolific German filmmaker Rainer Werner Fassbinder paid homage to his cinematic hero Douglas Sirk with this update of that filmmaker’s 1955 All That Heaven Allows. A lonely widow (Brigitte Mira) meets a much younger Arab worker (El Hedi ben Salem) in a bar during a rainstorm. They fall in love, to their own surprise—and to the outright shock of their families, colleagues, and drinking buddies. In Ali: Fear Eats the Soul, Fassbinder expertly wields the emotional power of classic Hollywood melodrama to expose the racial tensions underlying contemporary German culture.",/shop/browse?director=fassbinder-rainer-werner,93 minutes,German,Ali: Fear Eats the Soul,1955
,,,,,,,,,,1.66:1,Black & White,"Othello is translated to the world of sixties London jazz clubs in Basil Dearden’s smoky and sensational All Night Long.  Over the course of one eventful evening, the anniversary celebration of the musical and romantic partners Aurelius Rex (Paul Harris) and Delia Lane (Marti Stevens), a jealous, ambitious drummer, Johnny Cousin (Patrick McGoohan), attempts to tear the interracial couple apart. This daring psychodrama also features on-screen appearances by jazz legends Charles Mingus, Dave Brubeck, Tubby Hayes, and Johnny Dankworth.",/shop/browse?director=dearden-basil,91 minutes,English,All Night Long,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.75:1,Color,"This heartbreakingly beautiful indictment of 1950s American mores by Douglas Sirk follows the blossoming love between a well-off widow (Jane Wyman) and her handsome and earthy younger gardener (Rock Hudson). When their romance prompts the scorn of her children and country club friends, she must decide whether to pursue her own happiness or carry on a lonely, hemmed-in existence for the sake of the approval of others. With the help of ace cinematographer Russell Metty, Sirk imbues nearly every shot with a vivid and distinct emotional tenor. A profoundly felt film about class and conformity in small-town America, All That Heaven Allows is a pinnacle of expressionistic Hollywood melodrama.",/shop/browse?director=sirk-douglas,89 minutes,English,All That Heaven Allows,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"The preternaturally gifted director and choreographer Bob Fosse turned the camera on his own life for this madly imaginative, self-excoriating musical masterpiece. Roy Scheider gives the performance of his career as Joe Gideon, whose exhausting work schedule—mounting a Broadway production by day and editing his latest movie by night—and routine of amphetamines, booze, and sex are putting his health at serious risk. Fosse burrows into Gideon’s (and his own) mind, rendering his interior world as phantasmagoric spectacle. Assembled with visionary editing that makes dance come alive on-screen as never before, and overflowing with sublime footwork by the likes of Ann Reinking, Leland Palmer, and Ben Vereen, All That Jazz pushes the musical genre to personal depths and virtuosic aesthetic heights.",/shop/browse?director=fosse-bob,123 minutes,English,All That Jazz,1955
,,,,,,,,,,1.37:1,Color,"Conceived as an amusing diversion in the wake of Ingmar Bergman’s despairing trilogy, this comedy is the director’s first film in color, and it is an opulent visual feast. Working from a bawdy screenplay he cowrote with actor Erland Josephson, about a supercilious critic drawn into the dizzying orbit of a famous cellist, Bergman brings together buoyant comic turns by a number of his frequent collaborators, including Jarl Kulle, Eva Dahlbeck, Harriet Andersson, and Bibi Andersson. All These Women, in which Bergman pokes fun at the pretensions of drawing-room art, possesses a distinctly playful atmosphere and carefree cadences.",/shop/browse?director=bergman-ingmar,80 minutes,Swedish,All These Women,1955
,,,,$29.95,Out Of Print,,,,,1.33:1,Black & White,"A cockeyed fusion of science fiction, pulp characters, and surrealist poetry, Godard’s irreverent journey to the mysterious Alphaville remains one of the least conventional films of all time. Eddie Constantine stars as intergalactic hero Lemmy Caution, on a mission to kill the inventor of fascist computer Alpha 60.",/shop/browse?director=godard-jean-luc,99 minutes,French,Alphaville,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"This carnivalesque portrait of provincial Italy during the fascist period, the most personal film by Federico Fellini, satirizes the director’s youth and turns daily life into a circus of social rituals, adolescent desires, male fantasies, and political subterfuge, all set to Nino Rota’s classic, nostalgia-tinged score. The Academy Award–winning Amarcord remains one of cinema’s enduring treasures.",/shop/browse?director=fellini-federico,123 minutes,Italian,Amarcord,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Color,"Wim Wenders pays loving homage to rough-and-tumble Hollywood film noir with The American Friend, a loose adaptation of Patricia Highsmith’s novel Ripley’s Game. Dennis Hopper oozes quirky menace as an amoral American art dealer who entangles a terminally ill German everyman, played by Bruno Ganz, in a seedy criminal underworld as revenge for a personal slight—but when the two become embroiled in an ever-deepening murder plot, they form an unlikely bond. Filmed on location in Hamburg and Paris, with some scenes shot in grimy, late-seventies New York City, Wenders’s international breakout is a stripped-down crime story that mixes West German and American film flavors, and it features cameos by filmmakers Jean Eustache, Samuel Fuller, and Nicholas Ray.",/shop/browse?director=wenders-wim,126 minutes,"English,                                          French,                                          German",The American Friend,1955
,,,,,,,,,,1.33:1,Black & White,"The German-born American GI Ricky (Karl Scheydt) returns to Munich from Vietnam and is promptly hired as a contract killer. Rainer Werner Fassbinder’s experimental noir is a subversive, self-reflexive gangster movie full of unexpected asides and stylistic flourishes, and features an audaciously bonkers final shot and memorable turns from many of the director’s rotating gallery of players.",/shop/browse?director=fassbinder-rainer-werner,80 minutes,German,The American Soldier,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Black & White,"This major early achievement by Michelangelo Antonioni bears the first signs of the cinema-changing style for which he would soon be world-famous. Le amiche (The Girlfriends) is a brilliantly observed, fragmentary depiction of modern bourgeois life, conveyed from the perspective of five Turinese women. As four of the friends try to make sense of the suicide attempt of the fifth, they find themselves examining their own troubled romantic lives. With suggestions of the theme of modern alienation and the fastidious visual abstraction that would define his later masterpieces such as L’avventura, L’eclisse, and Red Desert, Antonioni’s film is a devastating take on doomed love and fraught friendship.
Le amiche was restored by the Cineteca di Bologna at L’Immagine Ritrovata. Restoration funding provided by Gucci and The Film Foundation.",/shop/browse?director=antonioni-michelangelo,106 minutes,Italian,Le amiche,1955
,,,,,,,,,,1.66:1,Color,"The Flamenco Trilogy's most straightforward narrative is also its most forthrightly theatrical, a modern take on composer Manuel de Falla's gypsy ballet, dressed up in pink sunsets and hellishly red fires. Set in a dusty Andalusian village, El amor brujo (Love the Magician) is a seductive melodrama of a man (Antonio Gades) whose beloved is haunted by the ghost of another.",/shop/browse?director=saura-carlos,103 minutes,Spanish,El amor brujo,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Black & White,"A virtuoso James Stewart plays a small-town Michigan lawyer who takes on a difficult case: the defense of a young army lieutenant (Ben Gazzara) accused of murdering a local tavern owner who he believes raped his wife (Lee Remick). This gripping envelope-pusher, the most popular film by Hollywood provocateur Otto Preminger, was groundbreaking for the frankness of its discussion of sex—but more than anything else, it is a striking depiction of the power of words. Featuring an outstanding supporting cast—with a young George C. Scott as a fiery prosecutor and the legendary attorney Joseph N. Welch as the judge—and an influential score by Duke Ellington, Anatomy of a Murder is an American movie landmark, nominated for seven Oscars, including best picture.",/shop/browse?director=preminger-otto,161 minutes,English,Anatomy of a Murder,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Color,"After the death in 2004 of American theater actor and monologist Spalding Gray, director Steven Soderbergh pieced together a narrative of Gray’s life to create the documentary And Everything Is Going Fine. Brilliantly and sensitively assembled entirely from footage of Gray, taken from interviews and one-man shows from throughout his career, it is a rich, full portrait—an autobiography of sorts—of a figure who was never less than candid but retained an air of mystery.",/shop/browse?director=soderbergh-steven,89 minutes,English,And Everything Is Going Fine,1955
,,,,$29.95,$23.96,,,,,2.35:1,Color,"The astounding success of Roger Vadim’s And God Created Woman revolutionized the foreign film market and turned Brigitte Bardot into an international star. Bardot stars as Juliette, an 18-year-old orphan whose unbridled appetite for pleasure shakes up all of St. Tropez; her sweet but naïve husband Michel (Jean-Louis Trintignant) endures beatings, insults, and mambo in his attempts to tame her wild ways.",/shop/browse?director=vadim-roger,92 minutes,French,And God Created Woman,1955
,,,,,,,,,,1.66:1,Color,"In the aftermath of the 1990 earthquake in Iran that left fifty thousand dead, Abbas Kiarostami returned to Koker, where his camera surveys not only devastation but also the teeming life in its wake. Blending fiction and reality into a playful, poignant road movie, And Life Goes On follows a film director who, along with his son, makes the trek to the region in hopes of finding out if the young boys who acted in Where Is the Friend’s House? are among the survivors, and discovers a resilient community pressing on in the face of tragedy. Finding beauty in the bleakest of circumstances, Kiarostami crafts a quietly majestic ode to the best of the human spirit.",/shop/browse?director=kiarostami-abbas,95 minutes,Persian,And Life Goes On,1955
,,$49.95,$39.96,$49.95,$39.96,,,,,2.35:1,Black & White,"Tracing the life of a renowned icon painter, the second feature by Andrei Tarkovsky vividly conjures the murky world of medieval Russia. This dreamlike and remarkably tactile film follows Andrei Rublev as he passes through a series of poetically linked scenes—snow falls inside an unfinished church, naked pagans stream through a thicket during a torchlit ritual, a boy oversees the clearing away of muddy earth for the forging of a gigantic bell—gradually emerging as a man struggling mightily to preserve his creative and religious integrity. Appearing here in the director’s preferred 183-minute cut as well as the version that was originally suppressed by Soviet authorities, the masterwork Andrei Rublev is one of Tarkovsky’s most revered films, an arresting meditation on art, faith, and endurance.",/shop/browse?director=tarkovsky-andrei,183 minutes,Russian,Andrei Rublev,1955
,,,,,,,,,,1.33:1,Black & White,"George Bernard Shaw’s breezy, delightful dramatization of this classic fable—about a Christian slave who pulls a thorn from a lion's paw and is spared from death in the Colosseum as a result of his kind act—was written as a meditation on modern Christian values. And Pascal’s final Shaw production plays it broadly, casting comic character actor Alan Young as the titular naïf. He’s ably supported by Jean Simmons, Victor Mature, Robert Newton, and Elsa Lanchester.",/shop/browse?director=erskine-chester,98 minutes,English,Androcles and the Lion,1955
,,,,,,,,,,1.33:1,Color,"In 1986, Louis Malle, himself a transplant to the United States, set out to investigate the ever-widening range of immigrant experience in America. Interviewing a variety of newcomers (from teachers to astronauts to doctors) in middle- and working-class communities from coast to coast, Malle paints a generous, humane portrait of their individual struggles in an increasingly polyglot nation.",/shop/browse?director=malle-louis,81 minutes,"French,                                          English",. . . And the Pursuit of Happiness,1955
,,,,$39.95,$31.96,,,,,1.85:1,Color,"In Fellini’s quirky, imaginative fable, a motley crew of European aristocrats (and a lovesick rhinoceros!) board a luxurious ocean liner on the eve of World War I to scatter the ashes of a beloved diva. Fabricated entirely in Rome’s famed Cinecittà studios, And the Ship Sails On (E la nave va) reaches spectacular new visual heights with its stylized re-creation of a decadent bygone era.",/shop/browse?director=fellini-federico,127 minutes,Italian,And the Ship Sails On,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.78:1,Color,"With An Angel at My Table, Academy Award–winning filmmaker Jane Campion brought to the screen the harrowing autobiography of Janet Frame, New Zealand’s most distinguished author. Three actors in turn take on the lead role (including Kerry Fox in a marvelous performance as the adult Frame), as the film describes a journey from an impoverished childhood marked by tragedy to a misdiagnosis of schizophrenia resulting in electroshock therapy and a narrowly escaped lobotomy to, finally, international literary fame. Unobtrusively capturing the beauty and power of the New Zealand landscape while maintaining the film’s focus on the figure at its center, Campion broke new ground for female filmmakers everywhere and earned a sweep of her country’s film awards, along with the Special Jury Prize at the Venice Film Festival.",/shop/browse?director=campion-jane,158 minutes,English,An Angel at My Table,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Color,"Lars von Trier shook up the film world when he premiered Antichrist at the 2009 Cannes Film Festival. In this graphic psychodrama, a grief-stricken man and woman—a searing Willem Dafoe and Cannes best actress winner Charlotte Gainsbourg—retreat to their cabin deep in the woods after the accidental death of their infant son, only to find terror and violence at the hands of nature and, ultimately, each other. But this most confrontational work yet from one of contemporary cinema’s most controversial artists is no mere provocation. It is a visually sublime, emotionally ravaging journey to the darkest corners of the possessed human mind; a disturbing battle of the sexes that pits rational psychology against age-old superstition; and a profoundly effective horror film.",/shop/browse?director=von-trier-lars,108 minutes,English,Antichrist,1955
,,,,$39.95,$31.96,,,,,1.33:1,Color,"Catalan architect Antonio Gaudí (1852–1926) designed some of the world’s most astonishing buildings, interiors, and parks; Japanese director Hiroshi Teshigahara constructed some of the most aesthetically audacious films ever made. Here their artistry melds in a unique, enthralling cinematic experience. Less a documentary than a visual poem, Teshigahara’s Antonio Gaudí takes viewers on a tour of Gaudí’s truly spectacular architecture, including his massive, still-unfinished masterpiece, the Sagrada Familia cathedral in Barcelona. With camera work as bold and sensual as the curves of his subject's organic structures, Teshigahara immortalizes Gaudí on film.",/shop/browse?director=teshigahara-hiroshi,72 minutes,Japanese,Antonio Gaudí,1955
,,,,,,,,,,1.37:1,Black & White,"Satyajit Ray had not planned to make a sequel to Pather Panchali, but after the film’s international success, he decided to continue Apu’s narrative. Aparajito picks up where the first film leaves off, with Apu and his family having moved away from the country to live in the bustling holy city of Varanasi (then known as Benares). As Apu progresses from wide-eyed child to intellectually curious teenager, eventually studying in Kolkata, we witness his academic and moral education, as well as the growing complexity of his relationship with his mother. This tenderly expressive, often heart-wrenching film, which won three top prizes at the Venice Film Festival, including the Golden Lion, not only extends but also spiritually deepens the tale of Apu.",/shop/browse?director=ray-satyajit,110 minutes,Bengali,Aparajito,1955
,,,,,,,,,,1.33:1,Black & White,"For Apart from You, Mikio Naruse turned his camera on the lives of working women, which he would continue to do throughout his long career. In this gently devastating drama, a critical breakthrough for the director, he contrasts the life of an aging geisha, whose angry teenage son is ashamed of her profession, with that of her youthful counterpart, a lovely young girl resentful of her family for forcing her into a life of ignominy.",/shop/browse?director=naruse-mikio,60 minutes,Japanese,Apart from You,1955
,,,,,,,,,,1.37:1,Black & White,"By the time Apur Sansar was released, Satyajit Ray had directed not only the first two Apu films but also the masterpiece The Music Room, and was well on his way to becoming a legend. This extraordinary final chapter brings our protagonist’s journey full circle. Apu is now in his early twenties, out of college, and hoping to live as a writer. Alongside his professional ambitions, the film charts his romantic awakening, which occurs as the result of a most unlikely turn of events, and his eventual, fraught fatherhood. Featuring soon to be Ray regulars Soumitra Chatterjee and Sharmila Tagore in star-making performances, and demonstrating Ray’s ever more impressive skills as a crafter of pure cinematic imagery, Apur Sansar is a moving conclusion to this monumental trilogy.",/shop/browse?director=ray-satyajit,106 minutes,Bengali,Apur Sansar,1955
